# Assembly Statistics Report
# Assembly name:  ASM2208547v1
# Organism name:  Heliosperma pusillum (eudicots)
# Infraspecific name:  ecotype=alpine
# Isolate:  6B1T
# Sex:  hermaphrodite
# Taxid:          39905
# BioSample:      SAMN19795684
# BioProject:     PRJNA739571
# Submitter:      Plant Ecological Genomics, University of Vienna
# Date:           2022-02-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JAIUZE01
# Assembly method: MaSuRCA v. 3.3.1
# Expected final version: no
# Genome coverage: 12.0x
# Sequencing technology: PacBio; Illumina
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_022085475.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_022085485.1		Primary Assembly
## GCA_022085495.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
non-nuclear	all	all	all	spanned-gaps	1
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	37
non-nuclear	all	all	assembled-molecule	total-length	0
non-nuclear	all	all	assembled-molecule	ungapped-length	0
non-nuclear	all	all	assembled-molecule	scaffold-count	0
non-nuclear	all	all	assembled-molecule	scaffold-N50	0
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	total-length	515792
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	515219
non-nuclear	all	all	unlocalized-scaffold	scaffold-count	12
non-nuclear	all	all	unlocalized-scaffold	scaffold-N50	52540
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	1
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	gc-perc	37
non-nuclear	Pltd	Chloroplast	all	total-length	515792
non-nuclear	Pltd	Chloroplast	all	ungapped-length	515219
non-nuclear	Pltd	Chloroplast	all	scaffold-count	12
non-nuclear	Pltd	Chloroplast	all	scaffold-N50	52540
non-nuclear	Pltd	Chloroplast	all	spanned-gaps	1
non-nuclear	Pltd	Chloroplast	all	unspanned-gaps	0
non-nuclear	Pltd	Chloroplast	all	gc-perc	37
non-nuclear	Pltd	Chloroplast	assembled-molecule	total-length	0
non-nuclear	Pltd	Chloroplast	assembled-molecule	ungapped-length	0
non-nuclear	Pltd	Chloroplast	assembled-molecule	scaffold-count	0
non-nuclear	Pltd	Chloroplast	assembled-molecule	scaffold-N50	0
non-nuclear	Pltd	Chloroplast	assembled-molecule	spanned-gaps	0
non-nuclear	Pltd	Chloroplast	assembled-molecule	unspanned-gaps	0
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	total-length	515792
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	ungapped-length	515219
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	scaffold-count	12
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	scaffold-N50	52540
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	spanned-gaps	1
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	Pltd	Chloroplast	unlocalized-scaffold	gc-perc	37
