# Assembly Statistics Report
# Assembly name:  Wolfe_Tque_UCD657
# Organism name:  Torulaspora quercuum (budding yeasts)
# Infraspecific name:  strain=UCD657
# Taxid:          1143185
# BioSample:      SAMEA110666423
# BioProject:     PRJEB55421
# Submitter:      UNIVERSITY COLLEGE DUBLIN
# Date:           2022-08-27
# Assembly type:  haploid
# Release type:   major
# Assembly level: Complete Genome
# Genome representation: full
# Assembly method: Canu v2.2
# Genome coverage: 100x
# Sequencing technology: MinION,DNBSEQ-G400
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_946403475.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_946403474.1		Primary Assembly
## GCA_946403476.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	6	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	6	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	total-length	1026143
Primary Assembly	7	Chromosome	all	ungapped-length	1026143
Primary Assembly	7	Chromosome	all	scaffold-count	1
Primary Assembly	7	Chromosome	all	scaffold-N50	1026143
Primary Assembly	7	Chromosome	all	spanned-gaps	0
Primary Assembly	7	Chromosome	all	unspanned-gaps	0
Primary Assembly	7	Chromosome	all	gc-perc	41.5
Primary Assembly	7	Chromosome	assembled-molecule	total-length	1026143
Primary Assembly	7	Chromosome	assembled-molecule	ungapped-length	1026143
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	7	Chromosome	assembled-molecule	scaffold-N50	1026143
Primary Assembly	7	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	7	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly	7	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	total-length	1001466
Primary Assembly	8	Chromosome	all	ungapped-length	1001466
Primary Assembly	8	Chromosome	all	scaffold-count	1
Primary Assembly	8	Chromosome	all	scaffold-N50	1001466
Primary Assembly	8	Chromosome	all	spanned-gaps	0
Primary Assembly	8	Chromosome	all	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	gc-perc	41.5
Primary Assembly	8	Chromosome	assembled-molecule	total-length	1001466
Primary Assembly	8	Chromosome	assembled-molecule	ungapped-length	1001466
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-N50	1001466
Primary Assembly	8	Chromosome	assembled-molecule	spanned-gaps	0
Primary Assembly	8	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	8	Chromosome	assembled-molecule	gc-perc	41.5
Primary Assembly	8	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	all	total-length	33865
non-nuclear	all	all	all	ungapped-length	33865
non-nuclear	all	all	all	scaffold-count	1
non-nuclear	all	all	all	scaffold-N50	33865
non-nuclear	all	all	all	spanned-gaps	0
non-nuclear	all	all	all	unspanned-gaps	0
non-nuclear	all	all	all	gc-perc	18
non-nuclear	all	all	assembled-molecule	total-length	33865
non-nuclear	all	all	assembled-molecule	ungapped-length	33865
non-nuclear	all	all	assembled-molecule	scaffold-count	1
non-nuclear	all	all	assembled-molecule	scaffold-N50	33865
non-nuclear	all	all	assembled-molecule	spanned-gaps	0
non-nuclear	all	all	assembled-molecule	unspanned-gaps	0
non-nuclear	all	all	assembled-molecule	gc-perc	18
non-nuclear	all	all	unlocalized-scaffold	total-length	0
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	0
non-nuclear	all	all	unlocalized-scaffold	scaffold-count	0
non-nuclear	all	all	unlocalized-scaffold	scaffold-N50	0
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MIT	Mitochondrion	all	total-length	33865
non-nuclear	MIT	Mitochondrion	all	ungapped-length	33865
non-nuclear	MIT	Mitochondrion	all	scaffold-count	1
non-nuclear	MIT	Mitochondrion	all	scaffold-N50	33865
non-nuclear	MIT	Mitochondrion	all	spanned-gaps	0
non-nuclear	MIT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MIT	Mitochondrion	all	gc-perc	18
non-nuclear	MIT	Mitochondrion	assembled-molecule	total-length	33865
non-nuclear	MIT	Mitochondrion	assembled-molecule	ungapped-length	33865
non-nuclear	MIT	Mitochondrion	assembled-molecule	scaffold-count	1
non-nuclear	MIT	Mitochondrion	assembled-molecule	scaffold-N50	33865
non-nuclear	MIT	Mitochondrion	assembled-molecule	spanned-gaps	0
non-nuclear	MIT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MIT	Mitochondrion	assembled-molecule	gc-perc	18
non-nuclear	MIT	Mitochondrion	unlocalized-scaffold	total-length	0
non-nuclear	MIT	Mitochondrion	unlocalized-scaffold	ungapped-length	0
non-nuclear	MIT	Mitochondrion	unlocalized-scaffold	scaffold-count	0
non-nuclear	MIT	Mitochondrion	unlocalized-scaffold	scaffold-N50	0
non-nuclear	MIT	Mitochondrion	unlocalized-scaffold	spanned-gaps	0
non-nuclear	MIT	Mitochondrion	unlocalized-scaffold	unspanned-gaps	0
