# Assembly Statistics Report
# Assembly name:  ASM157971v1
# Organism name:  Phaffia rhodozyma (basidiomycete fungi)
# Infraspecific name:  strain=CBS 7918
# Taxid:          264483
# BioSample:      SAMN04456988
# BioProject:     PRJNA306035
# Submitter:      Universidad Nacional del Comahue
# Date:           2016-03-03
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    LSVH01
# Assembly method: SPAdes v. 3.5.0
# Expected final version: yes
# Genome coverage: 10.5x
# Sequencing technology: Illumina GAIIx
# Relation to type material: assembly from synonym type material
# GenBank assembly accession: GCA_001579715.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001579735.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	pDK1	Plasmid	all	ungapped-length	4743
Primary Assembly	pDK1	Plasmid	all	scaffold-count	1
Primary Assembly	pDK1	Plasmid	all	scaffold-N50	4743
Primary Assembly	pDK1	Plasmid	all	spanned-gaps	0
Primary Assembly	pDK1	Plasmid	all	unspanned-gaps	0
Primary Assembly	pDK1	Plasmid	all	gc-perc	49
Primary Assembly	pDK1	Plasmid	assembled-molecule	total-length	0
Primary Assembly	pDK1	Plasmid	assembled-molecule	ungapped-length	0
Primary Assembly	pDK1	Plasmid	assembled-molecule	scaffold-count	0
Primary Assembly	pDK1	Plasmid	assembled-molecule	scaffold-N50	0
Primary Assembly	pDK1	Plasmid	assembled-molecule	spanned-gaps	0
Primary Assembly	pDK1	Plasmid	assembled-molecule	unspanned-gaps	0
Primary Assembly	pDK1	Plasmid	unlocalized-scaffold	total-length	4743
Primary Assembly	pDK1	Plasmid	unlocalized-scaffold	ungapped-length	4743
Primary Assembly	pDK1	Plasmid	unlocalized-scaffold	scaffold-count	1
Primary Assembly	pDK1	Plasmid	unlocalized-scaffold	scaffold-N50	4743
Primary Assembly	pDK1	Plasmid	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	pDK1	Plasmid	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	pDK1	Plasmid	unlocalized-scaffold	gc-perc	49
