# Assembly Statistics Report
# Assembly name:  ASM1547632v1
# Organism name:  Cardiosporidium cionae (apicomplexans)
# Isolate:  ESH_2018
# Taxid:          476202
# BioSample:      SAMN16226513
# BioProject:     PRJNA664590
# Submitter:      University of Rhode Island
# Date:           2020-11-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JADAQX01
# Assembly method: SPAdes v. 3.13.0
# Expected final version: yes
# Genome coverage: 26.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_015476325.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_015476365.1		Primary Assembly
## GCA_015476375.1		non-nuclear
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
non-nuclear	all	all	unlocalized-scaffold	ungapped-length	5711
non-nuclear	all	all	unlocalized-scaffold	spanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	all	all	unlocalized-scaffold	gc-perc	29.5
non-nuclear	MT	Mitochondrion	all	total-length	5711
non-nuclear	MT	Mitochondrion	all	ungapped-length	5711
non-nuclear	MT	Mitochondrion	all	spanned-gaps	0
non-nuclear	MT	Mitochondrion	all	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	all	gc-perc	29.5
non-nuclear	MT	Mitochondrion	assembled-molecule	total-length	0
non-nuclear	MT	Mitochondrion	assembled-molecule	ungapped-length	0
non-nuclear	MT	Mitochondrion	assembled-molecule	spanned-gaps	0
non-nuclear	MT	Mitochondrion	assembled-molecule	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	total-length	5711
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	ungapped-length	5711
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	spanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	unspanned-gaps	0
non-nuclear	MT	Mitochondrion	unlocalized-scaffold	gc-perc	29.5
non-nuclear	Pltd	Apicoplast	all	total-length	36468
non-nuclear	Pltd	Apicoplast	all	ungapped-length	36468
non-nuclear	Pltd	Apicoplast	all	spanned-gaps	0
non-nuclear	Pltd	Apicoplast	all	unspanned-gaps	0
non-nuclear	Pltd	Apicoplast	all	gc-perc	28
non-nuclear	Pltd	Apicoplast	assembled-molecule	total-length	36468
non-nuclear	Pltd	Apicoplast	assembled-molecule	ungapped-length	36468
non-nuclear	Pltd	Apicoplast	assembled-molecule	spanned-gaps	0
non-nuclear	Pltd	Apicoplast	assembled-molecule	unspanned-gaps	0
non-nuclear	Pltd	Apicoplast	assembled-molecule	gc-perc	28
non-nuclear	Pltd	Apicoplast	unlocalized-scaffold	total-length	0
non-nuclear	Pltd	Apicoplast	unlocalized-scaffold	ungapped-length	0
non-nuclear	Pltd	Apicoplast	unlocalized-scaffold	spanned-gaps	0
non-nuclear	Pltd	Apicoplast	unlocalized-scaffold	unspanned-gaps	0
